Date,AAPL,AMD,NVDA,TSM,AAPL_weight,NVDA_weight,AMD_weight,AAPL_corr,NVDA_corr,AMD_corr,Signal,TSM_MA_50,TSM_MA_200,Trend,Volatility,Vol_Adj,Position_Raw,Position_Size,Position,Position_Change,TSM_Returns,Portfolio_Value,Buy_Hold_Value,Cash,Holdings,Transaction_Costs,Strategy_Returns,Strategy_Cumulative,TSM_Cumulative
2016-01-25,22.420635223388672,2.119999885559082,0.6932371258735657,16.783090591430664,0.0,0.0,0.0,0.0,0.0,0.0,,,,-1,,1.0,0,,0.0,,,100000.0,100000.0,100000.0,0.0,0.0,,1.0,1.0
2016-01-26,22.54463768005371,2.069999933242798,0.7000670433044434,16.629047393798828,0.0,0.0,0.0,0.0,0.0,0.0,,,,-1,,1.0,0,,0.0,0.0,-0.009178476204525166,100000.0,99082.15237954748,100000.0,0.0,0.0,-0.0,1.0,0.9908215237954748
2016-01-27,21.063308715820312,2.130000114440918,0.6917735934257507,16.698362350463867,0.0,0.0,0.0,0.0,0.0,0.0,,,,-1,,1.0,0,,0.0,0.0,0.004168305918166304,100000.0,99495.1571016958,100000.0,0.0,0.0,0.0,1.0,0.9949515710169581
2016-01-28,21.214374542236328,2.0799999237060547,0.6842120289802551,16.65985107421875,0.0,0.0,0.0,0.0,0.0,0.0,,,,-1,,1.0,0,,0.0,0.0,-0.0023062906072371936,100000.0,99265.69235540657,100000.0,0.0,0.0,-0.0,1.0,0.9926569235540658
2016-01-29,21.947139739990234,2.200000047683716,0.714458703994751,17.21441078186035,0.0,0.0,0.0,0.0,0.0,0.0,,,,-1,,1.0,0,,0.0,0.0,0.03328719477569564,100000.0,102569.96879138527,100000.0,0.0,0.0,0.0,1.0,1.0256996879138527
2016-02-01,21.741971969604492,2.140000104904175,0.7147024273872375,17.29913330078125,0.0,0.0,0.0,0.0,0.0,0.0,,,,-1,,1.0,0,,0.0,0.0,0.0049216043461781656,100000.0,103074.7775955763,100000.0,0.0,0.0,0.0,1.0,1.030747775955763
2016-02-02,21.302303314208984,1.9900000095367432,0.6844555735588074,17.37615966796875,0.0,0.0,0.0,0.0,0.0,0.0,,,,-1,,1.0,0,,0.0,0.0,0.004452614234958352,100000.0,103533.72981756354,100000.0,0.0,0.0,0.0,1.0,1.0353372981756355
2016-02-03,21.723934173583984,2.069999933242798,0.6878708004951477,17.653440475463867,0.0,0.0,0.0,0.0,0.0,0.0,,,,-1,,1.0,0,,0.0,0.0,0.015957542563691973,100000.0,105185.8737179051,100000.0,0.0,0.0,0.0,1.0,1.0518587371790509
2016-02-04,21.898488998413086,2.0899999141693115,0.6881147027015686,17.892196655273438,0.0,0.0,0.0,0.0,0.0,0.0,,,,-1,,1.0,0,,0.0,0.0,0.013524625986725436,100000.0,106608.4733190267,100000.0,0.0,0.0,0.0,1.0,1.066084733190267
2016-02-05,21.313621520996094,1.9800000190734863,0.6446959376335144,17.522497177124023,0.0,0.0,0.0,0.0,0.0,0.0,,,,-1,,1.0,0,,0.0,0.0,-0.020662609810989885,100000.0,104405.66403229033,100000.0,0.0,0.0,-0.0,1.0,1.0440566403229032
2016-02-08,21.538042068481445,1.9299999475479126,0.6151809096336365,17.56101417541504,0.0,0.0,0.0,0.0,0.0,0.0,,,,-1,,1.0,0,,0.0,0.0,0.0021981454984225657,100000.0,104635.16287269273,100000.0,0.0,0.0,0.0,1.0,1.0463516287269272
2016-02-09,21.53350830078125,1.899999976158142,0.6217668652534485,17.37615966796875,0.0,0.0,0.0,0.0,0.0,0.0,,,,-1,,1.0,0,,0.0,0.0,-0.010526414112522087,100000.0,103533.72981756357,100000.0,0.0,0.0,-0.0,1.0,1.0353372981756357
2016-02-10,21.370290756225586,1.840000033378601,0.6203033924102783,17.1759033203125,0.0,0.0,0.0,0.0,0.0,0.0,,,,-1,,1.0,0,,0.0,0.0,-0.011524775985190971,100000.0,102340.52677450486,100000.0,0.0,0.0,-0.0,1.0,1.0234052677450487
2016-02-11,21.24107551574707,1.8600000143051147,0.6171322464942932,16.944833755493164,0.0,0.0,0.0,0.0,0.0,0.0,,,,-1,,1.0,0,,0.0,0.0,-0.013453124444760323,100000.0,100963.72693206512,100000.0,0.0,0.0,-0.0,1.0,1.0096372693206512
2016-02-12,21.306812286376953,1.8300000429153442,0.6276209354400635,17.129684448242188,0.0,0.0,0.0,0.0,0.0,0.0,,,,-1,,1.0,0,,0.0,0.0,0.010908970569811549,100000.0,102065.1372577855,100000.0,0.0,0.0,0.0,1.0,1.020651372577855
2016-02-16,21.907548904418945,1.8300000429153442,0.6583555936813354,17.9769287109375,0.0,0.0,0.0,0.0,0.0,0.0,,,,-1,,1.0,0,,0.0,0.0,0.049460587861690275,100000.0,107113.33894673969,100000.0,0.0,0.0,0.0,1.0,1.071133389467397
2016-02-17,22.24305534362793,1.899999976158142,0.6746987700462341,18.20799446105957,0.0,0.0,0.0,0.0,0.0,0.0,,,,-1,,1.0,0,,0.0,0.0,0.012853460890763113,100000.0,108490.11605977066,100000.0,0.0,0.0,0.0,1.0,1.0849011605977066
2016-02-18,21.821409225463867,1.909999966621399,0.7327529788017273,18.33123016357422,0.0,0.0,0.0,0.0,0.0,0.0,,,,-1,,1.0,0,,0.0,0.0,0.006768219464159397,100000.0,109224.40097495531,100000.0,0.0,0.0,0.0,1.0,1.0922440097495532
2016-02-19,21.77153778076172,1.909999966621399,0.7425100207328796,18.315824508666992,0.0,0.0,0.0,0.0,0.0,0.0,,,,-1,,1.0,0,,0.0,0.0,-0.0008404048593443347,100000.0,109132.60825761699,100000.0,0.0,0.0,-0.0,1.0,1.09132608257617
2016-02-22,21.96195411682129,2.009999990463257,0.7688542604446411,18.454463958740234,0.0,0.0,0.0,0.0,0.0,0.0,,,,-1,,1.0,0,,0.0,0.0,0.007569380783684521,100000.0,109958.67452543556,100000.0,0.0,0.0,0.0,1.0,1.0995867452543557
