Date,AAPL,AMD,NVDA,TSM,Signal,Volatility_Ratio,Volatility_Adjustment,TSM_MA,In_Uptrend,Position,Position_Change,TSM_Returns,Strategy_Returns,TSM_Cumulative,Strategy_Cumulative,Portfolio_Value,Buy_Hold_Value
2016-01-26,22.544631958007812,2.069999933242798,0.7000669836997986,16.629043579101562,,,1.0,,False,0.0,,,,,,,
2016-01-27,21.063304901123047,2.130000114440918,0.6917736530303955,16.698360443115234,,,1.0,,False,0.0,0.0,0.004168421574213932,,1.004168421574214,,,100416.84215742139
2016-01-28,21.214372634887695,2.0799999237060547,0.6842119097709656,16.659849166870117,,,1.0,,False,0.0,0.0,-0.0023062908706702467,-0.0,1.001852517110922,1.0,100000.0,100185.2517110922
2016-01-29,21.947147369384766,2.200000047683716,0.7144585847854614,17.214412689208984,,,1.0,,False,0.0,0.0,0.03328742756216996,0.0,1.0352016102022294,1.0,100000.0,103520.16102022295
2016-02-01,21.74197006225586,2.140000104904175,0.7147027254104614,17.29913330078125,,,1.0,,False,0.0,0.0,0.004921493001348365,0.0,1.0402963476818243,1.0,100000.0,104029.63476818243
2016-02-02,21.302305221557617,1.9900000095367432,0.6844557523727417,17.376155853271484,,,1.0,,False,0.0,0.0,0.004452393721178893,0.0,1.0449281566084083,1.0,100000.0,104492.81566084083
2016-02-03,21.723934173583984,2.069999933242798,0.6878707408905029,17.653430938720703,,,1.0,,False,0.0,0.0,0.015957216762475968,0.0,1.0616023017046232,1.0,100000.0,106160.23017046232
2016-02-04,21.898483276367188,2.0899999141693115,0.688114583492279,17.892202377319336,,,1.0,,False,0.0,0.0,0.013525497645611617,0.0,1.075961001136905,1.0,100000.0,107596.1001136905
2016-02-05,21.313613891601562,1.9800000190734863,0.6446958184242249,17.522504806518555,,,1.0,,False,0.0,0.0,-0.020662496600721503,-0.0,1.0537289606084048,1.0,100000.0,105372.89606084049
2016-02-08,21.538043975830078,1.9299999475479126,0.6151807904243469,17.561010360717773,,,1.0,,False,0.0,0.0,0.002197491433125087,0.0,1.0560445209721776,1.0,100000.0,105604.45209721776
2016-02-09,21.53350257873535,1.899999976158142,0.6217667460441589,17.376155853271484,,,1.0,,False,0.0,0.0,-0.010526416399126437,-0.0,1.0449281566084085,1.0,100000.0,104492.81566084086
2016-02-10,21.370290756225586,1.840000033378601,0.6203033328056335,17.175901412963867,,,1.0,,False,0.0,0.0,-0.0115246687471392,-0.0,1.0328857057389378,1.0,100000.0,103288.57057389378
2016-02-11,21.241077423095703,1.8600000143051147,0.6171323657035828,16.94483184814453,,,1.0,,False,0.0,0.0,-0.013453125938702182,-0.0,1.0189901642593466,1.0,100000.0,101899.01642593466
2016-02-12,21.306821823120117,1.8300000429153442,0.6276211738586426,17.129684448242188,,,1.0,,False,0.0,0.0,0.010909084360013699,0.0,1.030106413923276,1.0,100000.0,103010.64139232761
2016-02-16,21.907546997070312,1.8300000429153442,0.658355712890625,17.9769287109375,,,1.0,,False,0.0,0.0,0.049460587861690275,0.0,1.081056082716019,1.0,100000.0,108105.6082716019
2016-02-17,22.243059158325195,1.899999976158142,0.6746987104415894,18.20800018310547,,,1.0,,False,0.0,0.0,0.012853779190178383,0.0,1.09495173889545,1.0,100000.0,109495.173889545
