Date,ASML_Direct_Momentum_Fixed_Cumulative,ASML_Direct_Momentum_Fixed_Returns,ASML_w/_Supplier_Confirmation_Cumulative,ASML_w/_Supplier_Confirmation_Returns,Adaptive_Momentum_Cumulative,Adaptive_Momentum_Returns,ASML_Buy_and_Hold_Benchmark_Cumulative,ASML_Buy_and_Hold_Benchmark_Returns
2022-01-24,,,,,,,,
2022-01-25,,,,,,,0.9434844718901795,-0.05651552810982052
2022-01-26,1.0,0.0,1.0,0.0,1.0,0.0,0.9503071479023062,0.007231360149953625
2022-01-27,1.0,-0.0,1.0,-0.0,1.0,-0.0,0.9232494213898506,-0.028472611799440273
2022-01-28,1.0,0.0,1.0,0.0,1.0,0.0,0.9382472809895689,0.016244645544581715
2022-01-31,1.0,0.0,1.0,0.0,1.0,0.0,0.9851329477718312,0.04997154559596706
2022-02-01,1.0,0.0,1.0,0.0,1.0,0.0,0.991359138474568,0.006320152743666929
2022-02-02,1.0,0.0,1.0,0.0,1.0,0.0,0.999025318801398,0.007733000109956256
2022-02-03,1.0,-0.0,1.0,-0.0,1.0,-0.0,0.9396439452907406,-0.059439307886512305
2022-02-04,1.0,0.0,1.0,0.0,1.0,0.0,0.949652464397947,0.01065139530496273
2022-02-07,1.0,-0.0,1.0,-0.0,1.0,-0.0,0.945608521250378,-0.004258340076159106
2022-02-08,1.0,0.0,1.0,0.0,1.0,0.0,0.9506123651025886,0.005291665355970032
2022-02-09,1.0,0.0,1.0,0.0,1.0,0.0,0.9897443695093928,0.04116504880786098
2022-02-10,1.0,-0.0,1.0,-0.0,1.0,-0.0,0.9555728836318778,-0.03452556733861856
2022-02-11,1.0,-0.0,1.0,-0.0,1.0,-0.0,0.913910181524789,-0.0435997115664688
2022-02-14,1.0,-0.0,1.0,-0.0,1.0,-0.0,0.9134299078491628,-0.0005255151822741722
2022-02-15,1.0,0.0,1.0,0.0,1.0,0.0,0.9548893781642959,0.045388781294403824
2022-02-16,1.0,0.0,1.0,0.0,1.0,0.0,0.9657268982265069,0.011349503209518774
2022-02-17,1.0,-0.0,1.0,-0.0,1.0,-0.0,0.9461903184438947,-0.020229921956704144
2022-02-18,1.0,-0.0,1.0,-0.0,1.0,-0.0,0.9424081747955995,-0.003997233510606324
2022-02-22,1.0,-0.0,1.0,-0.0,1.0,-0.0,0.931410378752005,-0.011669886083044312
2022-02-23,1.0,-0.0,1.0,-0.0,1.0,-0.0,0.9189870040659289,-0.013338239480133574
2022-02-24,1.0,0.0,1.0,0.0,1.0,0.0,0.9555146854369084,0.03974776706239358
2022-02-25,1.0,0.0,1.0,0.0,1.0,0.0,0.9704694968479671,0.01565105344688722
2022-02-28,1.0,-0.0,1.0,-0.0,1.0,-0.0,0.9695819281856444,-0.0009145765685635299
2022-03-01,0.9505387107223842,-0.04946128927761584,0.9505387107223842,-0.04946128927761584,1.0,-0.0,0.9225947378854913,-0.04846128927761584
2022-03-02,0.9822528072716895,0.03336433981231912,0.9822528072716895,0.03336433981231912,1.0,0.0,0.9533765022293603,0.03336433981231912
2022-03-03,0.945412812735031,-0.03750561389484397,0.945412812735031,-0.03750561389484397,1.0,-0.0,0.9176195312403291,-0.03750561389484397
2022-03-04,0.890752620568276,-0.0578162168213332,0.890752620568276,-0.0578162168213332,1.0,-0.0,0.8645662414626482,-0.0578162168213332
2022-03-07,0.8608068955325163,-0.033618452917550834,0.8608068955325163,-0.033618452917550834,1.0,-0.0,0.8355008619799322,-0.033618452917550834
2022-03-08,0.8588584508809929,-0.002263509576463263,0.8588584508809929,-0.002263509576463263,1.0,-0.0,0.8336096977776973,-0.002263509576463263
2022-03-09,0.9312494703413957,0.08428748577387357,0.9312494703413957,0.08428748577387357,1.0,0.0,0.903872563320098,0.08428748577387357
2022-03-10,0.8993706240025346,-0.03423233768624245,0.8993706240025346,-0.03423233768624245,1.0,-0.0,0.8729308925071949,-0.03423233768624245
2022-03-11,0.8780580353973013,-0.023697225633615204,0.8780580353973013,-0.023697225633615204,1.0,-0.0,0.8522448521848988,-0.023697225633615204
2022-03-14,0.8656181414087942,-0.014167507712492311,0.8656181414087942,-0.014167507712492311,1.0,-0.0,0.8401706666686374,-0.014167507712492311
2022-03-15,0.8943195344118254,0.033157106615533394,0.8943195344118254,0.033157106615533394,1.0,0.0,0.8680282950386131,0.033157106615533394
2022-03-16,0.9751485793445862,0.09038049804639492,0.9751485793445862,0.09038049804639492,1.0,0.0,0.946481124662566,0.09038049804639492
2022-03-17,0.9803492857285836,0.0053332451014724835,0.9803492857285836,0.0053332451014724835,1.0,0.0,0.9515289404843088,0.0053332451014724835
2022-03-18,1.0189577469548647,0.03938235258425049,1.0189577469548647,0.03938235258425049,1.0,0.0,0.9890023887125802,0.03938235258425049
2022-03-21,1.023529053940634,0.004486257648494751,1.023529053940634,0.004486257648494751,1.0,0.0,0.9934393082433216,0.004486257648494751
2022-03-22,1.0322671695842627,0.008537242406540857,1.0322671695842627,0.008537242406540857,1.007537242406541,0.007537242406540857,1.001920540433981,0.008537242406540857
2022-03-23,0.9972254318493765,-0.03394638400541106,0.9972254318493765,-0.03394638400541106,0.9733349962760556,-0.03394638400541106,0.9679089610255002,-0.03394638400541106
2022-03-24,1.0349647451390755,0.03784431492055984,1.0349647451390755,0.03784431492055984,1.0101701923983286,0.03784431492055984,1.004538812560981,0.03784431492055984
2022-03-25,1.0301986127233693,-0.004605115718280595,1.0301986127233693,-0.004605115718280595,1.0055182417671766,-0.004605115718280595,0.9999127950856336,-0.004605115718280595
2022-03-28,1.0413944602073795,0.010867659251077244,1.0413944602073795,0.010867659251077244,1.0164458713894446,0.010867659251077244,1.0107795066234164,0.010867659251077244
2022-03-29,1.0628419133139417,0.020594936814136044,1.0628419133139417,0.020594936814136044,1.0373795098856997,0.020594936814136044,1.0315964466953493,0.020594936814136044
2022-03-30,1.0260020139533603,-0.034661692297883295,1.0260020139533603,-0.034661692297883295,1.0014221805179127,-0.034661692297883295,0.9958395680844053,-0.034661692297883295
2022-03-31,1.0010773028679287,-0.024293043041301976,1.0010773028679287,-0.024293043041301976,0.9770945883840765,-0.024293043041301976,0.9716475945946993,-0.024293043041301976
2022-04-01,1.0007776885770439,-0.00029929186290267307,1.0007776885770439,-0.00029929186290267307,0.9768021519244869,-0.00029929186290267307,0.9713567883760281,-0.00029929186290267307
2022-04-04,1.020411561533412,0.0196186157829763,1.020411561533412,0.0196186157829763,0.9959656580390779,0.0196186157829763,0.9904134639953632,0.0196186157829763
2022-04-05,0.9688987470621057,-0.050482390060238025,0.9688987470621057,-0.050482390060238025,0.9456869312033476,-0.050482390060238025,0.9404150251850378,-0.050482390060238025
2022-04-06,0.9419956108608468,-0.02776671585429802,0.9419956108608468,-0.02776671585429802,0.9194283108975011,-0.02776671585429802,0.9143027883956124,-0.02776671585429802
2022-04-07,0.937184460160646,-0.005107402459979649,0.937184460160646,-0.005107402459979649,0.9147324204806483,-0.005107402459979649,0.9096330760849944,-0.005107402459979649
2022-04-08,0.915647160837249,-0.022980854078294533,0.915647160837249,-0.022980854078294533,0.8937110882048973,-0.022980854078294533,0.888728931098695,-0.022980854078294533
2022-04-11,0.8958782330273976,-0.02159011533632138,0.8958782330273976,-0.02159011533632138,0.8744157627332043,-0.02159011533632138,0.8695411709735485,-0.02159011533632138
2022-04-12,0.8902729331394129,-0.0062567653519640665,0.8902729331394129,-0.0062567653519640665,0.868944748485724,-0.0062567653519640665,0.864100655902895,-0.0062567653519640665
2022-04-13,0.9183898498526335,0.03158235600185044,0.9183898498526335,0.03158235600185044,0.8963880708783385,0.03158235600185044,0.8913909904390527,0.03158235600185044
2022-04-14,0.8960730584573345,-0.02429991076107818,0.8960730584573345,-0.02429991076107818,0.8746059207486998,-0.02429991076107818,0.8697302689181546,-0.02429991076107818
2022-04-18,0.9076285763369145,0.012895731849670522,0.9076285763369145,0.012895731849670522,0.8737313148279511,-0.001,0.8809460772476649,0.012895731849670522
2022-04-19,0.9249696575946112,0.019105922521394536,0.9249696575946112,0.019105922521394536,0.8737313148279511,0.0,0.8977773647450853,0.019105922521394536
2022-04-20,0.9500889085817481,0.02715683782802092,0.9500889085817481,0.02715683782802092,0.8737313148279511,0.0,0.9221581590451355,0.02715683782802092
2022-04-21,0.9292111794730373,-0.021974500407415665,0.9292111794730373,-0.021974500407415665,0.8737313148279511,-0.0,0.9018941942034965,-0.021974500407415665
2022-04-22,0.9106710699953381,-0.01995252520338109,0.9106710699953381,-0.01995252520338109,0.8737313148279511,-0.0,0.8838991275628681,-0.01995252520338109
2022-04-25,0.898995915786774,-0.012820385530226575,0.898995915786774,-0.012820385530226575,0.8737313148279511,-0.0,0.8725671999776813,-0.012820385530226575
2022-04-26,0.8399588613598779,-0.06566999180995015,0.8399588613598779,-0.06566999180995015,0.8737313148279511,-0.0,0.8152657191015158,-0.06566999180995015
2022-04-27,0.8346382331186648,-0.0063343914636474485,0.8346382331186648,-0.0063343914636474485,0.8737313148279511,-0.0,0.8101015068898347,-0.0063343914636474485
2022-04-28,0.8850870742234519,0.06044396135111452,0.8850870742234519,0.06044396135111452,0.8737313148279511,0.0,0.8590672510627635,0.06044396135111452
2022-04-29,0.8449650278421698,-0.045331185540681385,0.8449650278421698,-0.045331185540681385,0.8737313148279511,-0.0,0.8201247141129142,-0.045331185540681385
2022-05-02,0.855936069431939,0.012984018543094722,0.855936069431939,0.012984018543094722,0.8737313148279511,0.0,0.8307732286086066,0.012984018543094722
2022-05-03,0.8611994968507817,0.006149323070747448,0.8611994968507817,0.006149323070747448,0.8737313148279511,0.0,0.8358819215898489,0.006149323070747448
2022-05-04,0.8943391406837191,0.03848079794997772,0.8943391406837191,0.03848079794997772,0.8737313148279511,0.0,0.8680473249245869,0.03848079794997772
2022-05-05,0.8513756125189653,-0.048039413920661356,0.8513756125189653,-0.048039413920661356,0.8737313148279511,-0.0,0.8263468401798119,-0.048039413920661356
2022-05-06,0.8315008489113171,-0.02334429517994374,0.8315008489113171,-0.02334429517994374,0.8737313148279511,-0.0,0.8070563556216406,-0.02334429517994374
2022-05-09,0.7736430736684138,-0.06958234055762713,0.7736430736684138,-0.06958234055762713,0.8737313148279511,-0.0,0.7508994854355782,-0.06958234055762713
2022-05-10,0.7898052088583878,0.02089094537269931,0.7898052088583878,0.02089094537269931,0.8737313148279511,0.0,0.7665864855662008,0.02089094537269931
2022-05-11,0.7866814824181121,-0.003955059304801112,0.7866814824181121,-0.003955059304801112,0.8737313148279511,-0.0,0.7635545905535274,-0.003955059304801112
2022-05-12,0.7882809639827455,0.002033200984618233,0.7882809639827455,0.002033200984618233,0.8737313148279511,0.0,0.7651070504988505,0.002033200984618233
2022-05-13,0.8274566270408339,0.04969758861124274,0.8274566270408339,0.04969758861124274,0.8737313148279511,0.0,0.8031310259381037,0.04969758861124274
2022-05-16,0.8072804407968349,-0.02438337622136577,0.8072804407968349,-0.02438337622136577,0.8737313148279511,-0.0,0.7835479799776035,-0.02438337622136577
2022-05-17,0.8475426815397668,0.04987392076933084,0.8475426815397668,0.04987392076933084,0.8737313148279511,0.0,0.8226265898499757,0.04987392076933084
2022-05-18,0.7972449324574638,-0.05934538776374654,0.7972449324574638,-0.05934538776374654,0.8737313148279511,-0.0,0.7738074958905604,-0.05934538776374654
2022-05-19,0.7937741464518412,-0.004353475154647901,0.7937741464518412,-0.004353475154647901,0.8737313148279511,-0.0,0.7704387441827205,-0.004353475154647901
2022-05-20,0.8040960396073726,0.01300356430310834,0.8040960396073726,0.01300356430310834,0.8737313148279511,0.0,0.7804571939343066,0.01300356430310834
2022-05-23,0.8369486323916097,0.040856553404091445,0.8369486323916097,0.040856553404091445,0.8737313148279511,0.0,0.812343984957891,0.040856553404091445
2022-05-24,0.8246046758888751,-0.014748762379193203,0.8246046758888751,-0.014748762379193203,0.8737313148279511,-0.0,0.8003629165535802,-0.014748762379193203
2022-05-25,0.8270944820672579,0.0030193937182068087,0.8270944820672579,0.0030193937182068087,0.8737313148279511,0.0,0.8027795273161077,0.0030193937182068087
2022-05-26,0.8451883109191759,0.02187637476034654,0.8451883109191759,0.02187637476034654,0.8737313148279511,0.0,0.8203414331056087,0.02187637476034654
2022-05-27,0.8803649131553911,0.0416198399596408,0.8803649131553911,0.0416198399596408,0.8737313148279511,0.0,0.8544839122637266,0.0416198399596408
2022-05-31,0.869665408913746,-0.012153487811430552,0.869665408913746,-0.012153487811430552,0.8737313148279511,-0.0,0.8440989524509659,-0.012153487811430552
2022-06-01,0.850605828406933,-0.021915992416691954,0.850605828406933,-0.021915992416691954,0.8537088946431275,-0.022915992416691955,0.8255996862101129,-0.021915992416691954
2022-06-02,0.8760789440489334,0.029947026920457365,0.8760789440489334,0.029947026920457365,0.8792749378932392,0.029947026920457365,0.8503239422385683,0.029947026920457365
2022-06-03,0.8505907905867425,-0.029093443730531243,0.8505907905867425,-0.029093443730531243,0.8536938019639759,-0.029093443730531243,0.8255850904723271,-0.029093443730531243
2022-06-06,0.8627236465503466,0.014264034007745119,0.8627236465503466,0.014264034007745119,0.8658709193873914,0.014264034007745119,0.8373612642791117,0.014264034007745119
2022-06-07,0.8707518438344737,0.009305641866000025,0.8707518438344737,0.009305641866000025,0.8739284040653946,0.009305641866000025,0.8451534483169542,0.009305641866000025
2022-06-08,0.856310111415159,-0.016585359562052204,0.856310111415159,-0.016585359562052204,0.8594339872524797,-0.016585359562052204,0.8311362744915092,-0.016585359562052204
2022-06-09,0.8185380575549186,-0.044110250897093084,0.8185380575549186,-0.044110250897093084,0.8215241384452837,-0.044110250897093084,0.7944746448940134,-0.044110250897093084
2022-06-10,0.787028399219343,-0.03849504374872825,0.787028399219343,-0.03849504374872825,0.7898995307951963,-0.03849504374872825,0.7638913086815631,-0.03849504374872825
2022-06-13,0.7448497405748504,-0.053592295635493836,0.7448497405748504,-0.053592295635493836,0.7475670016184822,-0.053592295635493836,0.7229526198333165,-0.053592295635493836
2022-06-14,0.741212967490669,-0.00488255937549853,0.741212967490669,-0.00488255937549853,0.7439169613459166,-0.00488255937549853,0.7194227607413081,-0.00488255937549853
2022-06-15,0.7625814244531925,0.028829038211332314,0.7625814244531925,0.028829038211332314,0.7431730443845707,-0.001,0.7401630270008214,0.028829038211332314
2022-06-16,0.7064739848572139,-0.07357567047507141,0.7064739848572139,-0.07357567047507141,0.7431730443845707,-0.0,0.6857050360283775,-0.07357567047507141
2022-06-17,0.7143213000067075,0.011107719912828218,0.7143213000067075,0.011107719912828218,0.7431730443845707,0.0,0.6933216555113965,0.011107719912828218
2022-06-21,0.7460117928888782,0.04436447979623903,0.7460117928888782,0.04436447979623903,0.7431730443845707,0.0,0.7240805100896268,0.04436447979623903
2022-06-22,0.7326565429783299,-0.017902196772025536,0.7326565429783299,-0.017902196772025536,0.7431730443845707,-0.0,0.7111178783192137,-0.017902196772025536
2022-06-23,0.7326565429783299,0.0,0.7326565429783299,0.0,0.7431730443845707,0.0,0.7111178783192137,0.0
2022-06-24,0.7775667074491411,0.061297704772070194,0.7775667074491411,0.061297704772070194,0.7431730443845707,0.0,0.7547077720825658,0.061297704772070194
2022-06-27,0.7666711404885561,-0.014012388720099245,0.7666711404885561,-0.014012388720099245,0.7431730443845707,-0.0,0.7441325134100648,-0.014012388720099245
2022-06-28,0.7400660005848706,-0.03470215389447373,0.7400660005848706,-0.03470215389447373,0.7431730443845707,-0.0,0.7183095124118272,-0.03470215389447373
2022-06-29,0.7313284084096663,-0.01180650397167149,0.7313284084096663,-0.01180650397167149,0.7431730443845707,-0.0,0.7098287883006476,-0.01180650397167149
2022-06-30,0.7181391931657155,-0.01803459990379952,0.7181391931657155,-0.01803459990379952,0.7431730443845707,-0.0,0.6970273101034465,-0.01803459990379952
2022-07-01,0.6788277138455265,-0.0547407517850339,0.6788277138455265,-0.0547407517850339,0.7431730443845707,-0.0,0.6588715111336839,-0.0547407517850339
2022-07-05,0.6525245200466162,-0.038747966917708765,0.6525245200466162,-0.038747966917708765,0.7431730443845707,-0.0,0.6333415796172551,-0.038747966917708765
2022-07-06,0.6472126480045014,-0.008140494156043787,0.6472126480045014,-0.008140494156043787,0.7431730443845707,-0.0,0.6281858661896014,-0.008140494156043787
2022-07-07,0.6819514878738407,0.05367453799990907,0.6819514878738407,0.05367453799990907,0.7431730443845707,0.0,0.6619034523354009,0.05367453799990907
2022-07-08,0.6835360267943609,0.0023235361293225676,0.6835360267943609,0.0023235361293225676,0.7431730443845707,0.0,0.6634414089210255,0.0023235361293225676
2022-07-11,0.6625750662061778,-0.030665480335375306,0.6625750662061778,-0.030665480335375306,0.7431730443845707,-0.0,0.6430966594420842,-0.030665480335375306
2022-07-12,0.6556785600674657,-0.01040864120981877,0.6556785600674657,-0.01040864120981877,0.7431730443845707,-0.0,0.6364028970507185,-0.01040864120981877
2022-07-13,0.6745721059076811,0.028815256424232327,0.6745721059076811,0.028815256424232327,0.7431730443845707,0.0,0.6547410097183592,0.028815256424232327
2022-07-14,0.689496952094636,0.022124908599463255,0.689496952094636,0.022124908599463255,0.7431730443845707,0.0,0.6692270947146982,0.022124908599463255
2022-07-15,0.7177619627839101,0.04099367024525247,0.7177619627839101,0.04099367024525247,0.7431730443845707,0.0,0.6966611695546209,0.04099367024525247
2022-07-18,0.7145174103136858,-0.004520373937955791,0.7145174103136858,-0.004520373937955791,0.7431730443845707,-0.0,0.6935120005601804,-0.004520373937955791
2022-07-19,0.7520632306385281,0.05254710351754621,0.7520632306385281,0.05254710351754621,0.7431730443845707,0.0,0.7299540474442767,0.05254710351754621
2022-07-20,0.7762989621014322,0.03222565666762778,0.7762989621014322,0.03222565666762778,0.7431730443845707,0.0,0.7534772959603613,0.03222565666762778
2022-07-21,0.8183268618397107,0.054138807070551076,0.8183268618397107,0.054138807070551076,0.7826643734101564,0.053138807070551075,0.7942696579183998,0.054138807070551076
2022-07-22,0.8062391193366782,-0.014771288914869007,0.8062391193366782,-0.014771288914869007,0.77110341182714,-0.014771288914869007,0.7825372713249729,-0.014771288914869007
2022-07-25,0.8133467736025594,0.00881581418640276,0.8133467736025594,0.00881581418640276,0.7779013162243094,0.00881581418640276,0.7894359745029085,0.00881581418640276
2022-07-26,0.7910125173971024,-0.027459697302949615,0.7910125173971024,-0.027459697302949615,0.7565403815492238,-0.027459697302949615,0.7677583016029995,-0.027459697302949615
2022-07-27,0.8242273979190311,0.0419903349080053,0.8242273979190311,0.0419903349080053,0.7883077655419057,0.0419903349080053,0.7999967298157108,0.0419903349080053
2022-07-28,0.8461541577501476,0.026602803894260285,0.8461541577501476,0.026602803894260285,0.8092789624369395,0.026602803894260285,0.8212788859350477,0.026602803894260285
2022-07-29,0.8668737993947033,0.02448684019900993,0.8668737993947033,0.02448684019900993,0.8290956470665535,0.02448684019900993,0.8413894107737602,0.02448684019900993
2022-08-01,0.872472436957287,0.006458422859813018,0.872472436957287,0.006458422859813018,0.8344502973465395,0.006458422859813018,0.846823459378306,0.006458422859813018
2022-08-02,0.8535335397163071,-0.02170715823072722,0.8535335397163071,-0.02170715823072722,0.8163367527063609,-0.02170715823072722,0.8284413285520894,-0.02170715823072722
2022-08-03,0.8810893934546971,0.03228444162551458,0.8810893934546971,0.03228444162551458,0.8426917289458715,0.03228444162551458,0.855187094263893,0.03228444162551458
2022-08-04,0.890159292903289,0.010293960540177949,0.890159292903289,0.010293960540177949,0.8513663643511746,0.010293960540177949,0.863990356466715,0.010293960540177949
2022-08-05,0.8732928547423658,-0.01894766284572802,0.8732928547423658,-0.01894766284572802,0.8352349615212553,-0.01894766284572802,0.8476197584904233,-0.01894766284572802
2022-08-08,0.8663949685505351,-0.007898709069211085,0.8663949685505351,-0.007898709069211085,0.8286376835557652,-0.007898709069211085,0.8409246566167924,-0.007898709069211085
